[26-02-2022 02:52:51] | dev | INFO    | Classes have been mapped
[26-02-2022 02:52:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 02:52:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 02:52:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 02:54:00] | dev | INFO    | Classes have been mapped
[26-02-2022 02:54:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 02:54:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 02:54:00] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:00:51] | dev | INFO    | Classes have been mapped
[26-02-2022 03:00:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:00:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:00:51] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:01:45] | dev | INFO    | Classes have been mapped
[26-02-2022 03:01:45] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:01:45] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:01:45] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:02:09] | dev | INFO    | Classes have been mapped
[26-02-2022 03:12:42] | dev | INFO    | Classes have been mapped
[26-02-2022 03:12:42] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:12:42] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:12:42] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:14:14] | dev | INFO    | Classes have been mapped
[26-02-2022 03:14:14] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:14:14] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:14:14] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:23:35] | dev | INFO    | Classes have been mapped
[26-02-2022 03:23:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:23:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:23:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:32:42] | dev | INFO    | Classes have been mapped
[26-02-2022 03:33:18] | dev | INFO    | Classes have been mapped
[26-02-2022 03:34:12] | dev | INFO    | Classes have been mapped
[26-02-2022 03:35:03] | dev | INFO    | Classes have been mapped
[26-02-2022 03:35:59] | dev | INFO    | Classes have been mapped
[26-02-2022 03:36:41] | dev | INFO    | Classes have been mapped
[26-02-2022 03:38:06] | dev | INFO    | Classes have been mapped
[26-02-2022 03:38:06] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:38:06] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:38:06] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:40:30] | dev | INFO    | Classes have been mapped
[26-02-2022 03:40:30] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:40:30] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:40:30] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:43:40] | dev | INFO    | Classes have been mapped
[26-02-2022 03:43:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:43:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:43:40] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:44:54] | dev | INFO    | Classes have been mapped
[26-02-2022 03:44:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:44:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:44:54] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:45:35] | dev | INFO    | Classes have been mapped
[26-02-2022 03:45:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:45:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:45:35] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:46:11] | dev | INFO    | Classes have been mapped
[26-02-2022 03:46:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:46:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:46:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 03:46:42] | dev | INFO    | Classes have been mapped
[26-02-2022 03:46:42] | dev | INFO    | INSERT operation request ...
